BIRTHDAY;COMMENT;COORDINATES.X;COORDINATES.Y;CREATIONDATE;DISCOUNT;ID;LOCATION.NAME;LOCATION.X;LOCATION.Y;NAME;PASSPORTID;PRICE;TYPE;WEIGHT
20240322T230055;glupiy;3.0;5.0;20240322T230055;2;1;itmo;3;5;david;123456;500;USUAL;60
20240322T230322;rare;15.0;-3.0;20240322T230322;1;3;france;15;-3;flangus;9787;400;VIP;94
20240322T230442;blin blinskiy;9.0;0.0;20240322T230442;15;4;obschaga;9;0;kuzya;6732;1000;BUDGETARY;120
20240323T120714;esfdg;3.0;34.0;20240323T120714;1;5;1321;3;34;eq;wedf;134;VIP;234
20240323T120820;earsf;65.0;24.0;20240323T120820;31;6;1edsav;65;24;mshusik;31fc1;1234;VIP;323
20240504T140448;13;13.0;133.0;20240504T140448;13;7;31;13;133;afe;13313;1331;VIP;31
20240505T144526;eqwv;3.0;31.0;20240505T144526;13;9;w;3;31;ewwe;weww;31;VIP;313
20240505T145059;wewewe;2.0;3.0;20240505T145059;2;10;evewvw;2;3;wow;31311;232;VIP;23
20240505T151328;22;2.0;2.0;20240505T151328;2;11;2;2;2;vwe;2222;2;VIP;2
20240505T152049;3;3.0;3.0;20240505T152049;3;12;3;3;3;vova;3333;3;VIP;23
20240517T161517;feq;31.0;31.0;20240517T161517;13;13;qef;31;31;eqf;qwefgr;311;VIP;13
20240517T172844;22;2.0;2.0;20240517T172844;2;14;42424;2;2;342;32242;2;VIP;23
20240517T181713;24;4.0;4.0;20240517T181713;32;15;wfegwg;4;4;sv;242424;2;VIP;3212
20240517T224633;32;21.0;33.0;20240517T224633;3;16;e;21;33;123;12312331;213;VIP;123
